ID,stockNum,stockName,date,filename,inputTime,username
194,1592,英瑞-KY,2018_07_11,1592_英瑞-KY_2018-07-11_上午12:39:42.txt,上午12:39:42,c21221203
195,8349,恒耀,2018_07_11,8349_恒耀_2018-07-11_上午12:39:54.txt,上午12:39:54,c21221203
196,6123,上奇,2018_07_11,6123_上奇_2018-07-11_上午12:40:06.txt,上午12:40:06,c21221203
197,6609,瀧澤科,2018_07_11,6609_瀧澤科_2018-07-11_上午12:42:25.txt,上午12:42:25,c21221203
198,6609,瀧澤科,2018_07_11,6609_瀧澤科_2018-07-11_上午12:42:38.txt,上午12:42:38,c21221203
199,2426,鼎元,2018_07_11,2426_鼎元_2018-07-11_上午12:42:57.txt,上午12:42:57,c21221203
200,4912,聯德控股-KY,2018_07_11,4912_聯德控股-KY_2018-07-11_上午12:43:13.txt,上午12:43:13,c21221203
201,5349,先豐,2018_07_11,5349_先豐_2018-07-11_上午12:44:20.txt,上午12:44:20,c21221203
202,4736,泰博,2018_07_11,4736_泰博_2018-07-11_上午12:45:17.txt,上午12:45:17,c21221203
203,2347,聯強,2018_07_11,2347_聯強_2018-07-11_上午12:45:33.txt,上午12:45:33,c21221203
204,2347,聯強,2018_07_11,2347_聯強_2018-07-11_上午12:45:49.txt,上午12:45:49,c21221203
205,7402,邑錡,2018_07_11,7402_邑錡_2018-07-11_上午12:46:01.txt,上午12:46:01,c21221203
206,7402,邑錡,2018_07_11,7402_邑錡_2018-07-11_上午12:47:09.txt,上午12:47:09,c21221203
207,3455,由田,2018_07_11,3455_由田_2018-07-11_上午12:47:20.txt,上午12:47:20,c21221203
208,3501,維熹,2018_07_11,3501_維熹_2018-07-11_上午12:47:34.txt,上午12:47:34,c21221203
209,4123,晟德,2018_07_11,4123_晟德_2018-07-11_上午12:47:54.txt,上午12:47:54,c21221203
210,6207,雷科,2018_07_11,6207_雷科_2018-07-11_上午12:48:07.txt,上午12:48:07,c21221203
211,6207,雷科,2018_07_11,6207_雷科_2018-07-11_上午12:48:19.txt,上午12:48:19,c21221203
212,1723,中碳,2018_07_11,1723_中碳_2018-07-11_上午12:49:20.txt,上午12:49:20,c21221203
213,4526,東台,2018_07_16,4526_東台_2018-07-16_5:19:36_PM.txt,5:19:36_PM,popowing
214,4526,東台,2018_07_28,4526_東台_2018-07-28_下午7:28:38.txt,下午7:28:38,c21221203
215,1787,福盈科,2018_07_28,1787_福盈科_2018-07-28_下午7:29:11.txt,下午7:29:11,c21221203
216,2367,燿華,2018_07_28,2367_燿華_2018-07-28_下午7:29:26.txt,下午7:29:26,c21221203
217,2409,友達,2018_07_28,2409_友達_2018-07-28_下午7:29:47.txt,下午7:29:47,c21221203
218,2337,旺宏,2018_07_28,2337_旺宏_2018-07-28_下午7:30:03.txt,下午7:30:03,c21221203
219,2636,台驊投控,2018_07_28,2636_台驊投控_2018-07-28_下午7:30:15.txt,下午7:30:15,c21221203
220,2337,旺宏,2018_07_28,2337_旺宏_2018-07-28_下午7:30:29.txt,下午7:30:29,c21221203
221,1730,花仙子,2018_07_28,1730_花仙子_2018-07-28_下午7:31:21.txt,下午7:31:21,c21221203
222,8112,至上,2018_07_28,8112_至上_2018-07-28_下午7:31:41.txt,下午7:31:41,c21221203
223,2501,國建,2018_07_28,2501_國建_2018-07-28_下午7:32:17.txt,下午7:32:17,c21221203
224,4105,東洋,2018_07_28,4105_東洋_2018-07-28_下午7:32:41.txt,下午7:32:41,c21221203
225,4763,材料-KY,2018_07_28,4763_材料-KY_2018-07-28_下午7:33:02.txt,下午7:33:02,c21221203
226,4763,材料-KY,2018_07_28,4763_材料-KY_2018-07-28_下午7:33:13.txt,下午7:33:13,c21221203
227,5203,訊連,2018_07_28,5203_訊連_2018-07-28_下午7:33:36.txt,下午7:33:36,c21221203
228,4105,東洋,2018_07_28,4105_東洋_2018-07-28_下午7:34:37.txt,下午7:34:37,c21221203
229,4105,東洋,2018_07_28,4105_東洋_2018-07-28_下午7:34:53.txt,下午7:34:53,c21221203
230,5203,訊連,2018_07_28,5203_訊連_2018-07-28_下午7:35:20.txt,下午7:35:20,c21221203
231,3661,世芯-KY,2018_07_28,3661_世芯-KY_2018-07-28_下午7:35:39.txt,下午7:35:39,c21221203
232,6574,霈方,2018_07_28,6574_霈方_2018-07-28_下午7:35:52.txt,下午7:35:52,c21221203
233,NULL,NULL,2018_07_28,__2018-07-28_下午7:37:44.txt,下午7:37:44,c21221203
234,6239,力成,2018_07_28,6239_力成_2018-07-28_下午7:38:00.txt,下午7:38:00,c21221203
235,1314,中石化,2018_07_28,1314_中石化_2018-07-28_下午7:38:11.txt,下午7:38:11,c21221203
236,1314,中石化,2018_07_28,1314_中石化_2018-07-28_下午7:38:24.txt,下午7:38:24,c21221203
237,4927,泰鼎-KY,2018_07_28,4927_泰鼎-KY_2018-07-28_下午7:38:25.txt,下午7:38:25,c21221203
238,4927,泰鼎-KY,2018_07_28,4927_泰鼎-KY_2018-07-28_下午7:38:54.txt,下午7:38:54,c21221203
239,4927,泰鼎-KY,2018_07_28,4927_泰鼎-KY_2018-07-28_下午7:40:03.txt,下午7:40:03,c21221203
240,1702,南僑,2018_07_28,1702_南僑_2018-07-28_下午7:40:12.txt,下午7:40:12,c21221203
241,1702,南僑,2018_07_28,1702_南僑_2018-07-28_下午7:40:24.txt,下午7:40:24,c21221203
242,2231,為升,2018_07_28,2231_為升_2018-07-28_下午7:40:55.txt,下午7:40:55,c21221203
243,2231,為升,2018_07_28,2231_為升_2018-07-28_下午7:41:35.txt,下午7:41:35,c21221203
244,1527,鑽全,2018_07_28,1527_鑽全_2018-07-28_下午7:41:52.txt,下午7:41:52,c21221203
245,NULL,NULL,2018_07_28,__2018-07-28_下午7:42:10.txt,下午7:42:10,c21221203
246,3105,穩懋,2018_07_28,3105_穩懋_2018-07-28_下午7:42:28.txt,下午7:42:28,c21221203
247,3105,穩懋,2018_07_28,3105_穩懋_2018-07-28_下午7:42:43.txt,下午7:42:43,c21221203
248,6288,聯嘉光電,2018_07_28,6288_聯嘉光電_2018-07-28_下午7:43:09.txt,下午7:43:09,c21221203
