股票代號,股票名稱,日期,檔案路徑,輸入時間,Username
3008.0,大立光,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/3008_大立光_2018-06-18_下午12:44:36.txt,下午12:44:36,c21221203
6435.0,大中,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/6435_大中_2018-06-18_下午12:44:57.txt,下午12:44:57,c21221203
6138.0,茂達,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/6138_茂達_2018-06-18_下午12:45:10.txt,下午12:45:10,c21221203
1718.0,中纖,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/1718_中纖_2018-06-18_下午12:45:27.txt,下午12:45:27,c21221203
2344.0,華邦電,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/2344_華邦電_2018-06-18_下午12:45:46.txt,下午12:45:46,c21221203
9958.0,世紀鋼,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/9958_世紀鋼_2018-06-18_下午12:46:43.txt,下午12:46:43,c21221203
2327.0,國巨,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/2327_國巨_2018-06-18_下午12:47:19.txt,下午12:47:19,c21221203
5349.0,先豐,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/5349_先豐_2018-06-18_下午12:48:17.txt,下午12:48:17,c21221203
1568.0,倉佑,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/1568_倉佑_2018-06-18_下午12:48:36.txt,下午12:48:36,c21221203
2383.0,台光電,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/2383_台光電_2018-06-18_下午12:49:22.txt,下午12:49:22,c21221203
2637.0,慧洋-KY,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/2637_慧洋-KY_2018-06-18_下午12:51:14.txt,下午12:51:14,c21221203
5305.0,敦南,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/5305_敦南_2018-06-18_下午12:52:03.txt,下午12:52:03,c21221203
1476.0,儒鴻,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/1476_儒鴻_2018-06-18_下午12:52:48.txt,下午12:52:48,c21221203
1476.0,儒鴻,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/1476_儒鴻_2018-06-18_下午12:53:05.txt,下午12:53:05,c21221203
8255.0,朋程,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/8255_朋程_2018-06-18_下午12:53:57.txt,下午12:53:57,c21221203
5609.0,中菲行,2018_06_20,/home/cosbi/桌面/financialData/lineMemo_data/5609_中菲行_2018-06-20_4:48:04 PM.txt,4:48:04 PM,popowing
2456.0,奇力新,2018_06_20,/home/cosbi/桌面/financialData/lineMemo_data/2456_奇力新_2018-06-20_8:27:04 PM.txt,8:27:04 PM,popowing
4563.0,百德,2018_06_20,/home/cosbi/桌面/financialData/lineMemo_data/4563_百德_2018-06-20_9:48:47 PM.txt,9:48:47 PM,popowing
6230.0,超眾,2018_06_26,/home/cosbi/桌面/financialData/lineMemo_data/6230_超眾_2018-06-26_9:42:26 PM.txt,9:42:26 PM,popowing
8074.0,鉅橡,2018_06_27,/home/cosbi/桌面/financialData/lineMemo_data/8074_鉅橡_2018-06-27_上午1:18:44.txt,上午1:18:44,c21221203
1319.0,東陽,2018_06_27,/home/cosbi/桌面/financialData/lineMemo_data/1319_東陽_2018-06-27_上午1:18:59.txt,上午1:18:59,c21221203
1582.0,信錦,2018_06_27,/home/cosbi/桌面/financialData/lineMemo_data/1582_信錦_2018-06-27_上午1:19:16.txt,上午1:19:16,c21221203
